Participant_id,Event,False_event,False_event_num_words,EL_num_words,is_positive_gain,embedded_lie_num,embedded_lie,enriched_lie,enriched_lie_word_count_controlled
57b0e125f89fc60001ae8115,A job interview for your dream job,"I had just started at a new school with a topic more interesting to me. I was told from the beginning that getting an apprenticeship would be quite hard. But after just a few weeks I was already called in to my first interview, same did 2 other guys from my class. I had a lot of experience from working with IT in my private life, so I stood a greater chance of getting it i thought. It took place at a naval station and I was greeted by 2 guys, one of them I would later work with, and was taken to a meeting room with 2 other guys joining us. We talked about previous work, experience and private stuff. I felt confident in my presentation of myself and there was a great atmosphere between us all. We went about 15 min over time, and I even got to have a quick tour around the workplace. Afterwards I went home and already the day after they called to tell me I got the job. I was extremely happy.",179,54,1,1,I was told from the beginning that getting an apprenticeship would be quite hard,I was told from the beginning that getting an apprenticeship would be quite hard,14
57b0e125f89fc60001ae8115,A job interview for your dream job,"I had just started at a new school with a topic more interesting to me. I was told from the beginning that getting an apprenticeship would be quite hard. But after just a few weeks I was already called in to my first interview, same did 2 other guys from my class. I had a lot of experience from working with IT in my private life, so I stood a greater chance of getting it i thought. It took place at a naval station and I was greeted by 2 guys, one of them I would later work with, and was taken to a meeting room with 2 other guys joining us. We talked about previous work, experience and private stuff. I felt confident in my presentation of myself and there was a great atmosphere between us all. We went about 15 min over time, and I even got to have a quick tour around the workplace. Afterwards I went home and already the day after they called to tell me I got the job. I was extremely happy.",179,54,1,2,But after just a few weeks I was already called in to my first interview,But after just a few weeks I was already called in to my first interview,15
57b0e125f89fc60001ae8115,A job interview for your dream job,"I had just started at a new school with a topic more interesting to me. I was told from the beginning that getting an apprenticeship would be quite hard. But after just a few weeks I was already called in to my first interview, same did 2 other guys from my class. I had a lot of experience from working with IT in my private life, so I stood a greater chance of getting it i thought. It took place at a naval station and I was greeted by 2 guys, one of them I would later work with, and was taken to a meeting room with 2 other guys joining us. We talked about previous work, experience and private stuff. I felt confident in my presentation of myself and there was a great atmosphere between us all. We went about 15 min over time, and I even got to have a quick tour around the workplace. Afterwards I went home and already the day after they called to tell me I got the job. I was extremely happy.",179,54,1,3,I had a lot of experience from working with IT,I had a lot of experience from working with IT,10
57b0e125f89fc60001ae8115,A job interview for your dream job,"I had just started at a new school with a topic more interesting to me. I was told from the beginning that getting an apprenticeship would be quite hard. But after just a few weeks I was already called in to my first interview, same did 2 other guys from my class. I had a lot of experience from working with IT in my private life, so I stood a greater chance of getting it i thought. It took place at a naval station and I was greeted by 2 guys, one of them I would later work with, and was taken to a meeting room with 2 other guys joining us. We talked about previous work, experience and private stuff. I felt confident in my presentation of myself and there was a great atmosphere between us all. We went about 15 min over time, and I even got to have a quick tour around the workplace. Afterwards I went home and already the day after they called to tell me I got the job. I was extremely happy.",179,54,1,4,I felt confident in my presentation of myself,I felt confident in my presentation of myself,8
57b0e125f89fc60001ae8115,A job interview for your dream job,"I had just started at a new school with a topic more interesting to me. I was told from the beginning that getting an apprenticeship would be quite hard. But after just a few weeks I was already called in to my first interview, same did 2 other guys from my class. I had a lot of experience from working with IT in my private life, so I stood a greater chance of getting it i thought. It took place at a naval station and I was greeted by 2 guys, one of them I would later work with, and was taken to a meeting room with 2 other guys joining us. We talked about previous work, experience and private stuff. I felt confident in my presentation of myself and there was a great atmosphere between us all. We went about 15 min over time, and I even got to have a quick tour around the workplace. Afterwards I went home and already the day after they called to tell me I got the job. I was extremely happy.",179,54,1,5,We went about 15 min over time,We went about 15 min over time,7
582a0f48429e67000168cef9,Getting fired,I was working as a sales promoter for a tea brand. I've been working for aproximately 22 months and they even gave me a kettle to make tea at home (i love tea). I had another colleague with whom i arranged my shedule monthly. One day i received a call from my direct supervisor who told me that we were gonna get fired. The didn't even let me go to work on the rest of my scheduled days. She was extremely upset and i ended up being the one to comfort her even though i was the one left without a job. I ruined my party. What a bummer.,112,13,0,1,tea brand,tea brand,2
582a0f48429e67000168cef9,Getting fired,I was working as a sales promoter for a tea brand. I've been working for aproximately 22 months and they even gave me a kettle to make tea at home (i love tea). I had another colleague with whom i arranged my shedule monthly. One day i received a call from my direct supervisor who told me that we were gonna get fired. The didn't even let me go to work on the rest of my scheduled days. She was extremely upset and i ended up being the one to comfort her even though i was the one left without a job. I ruined my party. What a bummer.,112,13,0,2,22 months,promoter for a tea brand. I've been working for aproximately 22 months and they even gave me a kettle to make tea,22
582a0f48429e67000168cef9,Getting fired,I was working as a sales promoter for a tea brand. I've been working for aproximately 22 months and they even gave me a kettle to make tea at home (i love tea). I had another colleague with whom i arranged my shedule monthly. One day i received a call from my direct supervisor who told me that we were gonna get fired. The didn't even let me go to work on the rest of my scheduled days. She was extremely upset and i ended up being the one to comfort her even though i was the one left without a job. I ruined my party. What a bummer.,112,13,0,3,kettle,for aproximately 22 months and they even gave me a kettle to make tea at home (i love tea). I had,21
582a0f48429e67000168cef9,Getting fired,I was working as a sales promoter for a tea brand. I've been working for aproximately 22 months and they even gave me a kettle to make tea at home (i love tea). I had another colleague with whom i arranged my shedule monthly. One day i received a call from my direct supervisor who told me that we were gonna get fired. The didn't even let me go to work on the rest of my scheduled days. She was extremely upset and i ended up being the one to comfort her even though i was the one left without a job. I ruined my party. What a bummer.,112,13,0,4,I ruined my party,I ruined my party,4
582a0f48429e67000168cef9,Getting fired,I was working as a sales promoter for a tea brand. I've been working for aproximately 22 months and they even gave me a kettle to make tea at home (i love tea). I had another colleague with whom i arranged my shedule monthly. One day i received a call from my direct supervisor who told me that we were gonna get fired. The didn't even let me go to work on the rest of my scheduled days. She was extremely upset and i ended up being the one to comfort her even though i was the one left without a job. I ruined my party. What a bummer.,112,13,0,5,from my direct supervisor,arranged my shedule monthly. One day i received a call from my direct supervisor who told me that we were gonna get fired. The,24
